Bele Chart Data:
==================================================
Row  4: B='C.£ÀA.' | C='¤ªÀé¼À DzÁAiÀÄ ¨É¼ÉUÀ¼ÀÄ' | D='¤Ã' | E=0
Row  5: B='1' | C='¨sÀvÀÛ' | D='¤Ã' | E=11882
Row  6: B='2' | C='ªÀÄÄ¸ÀÄQ£ÀeÉÆÃ¼À' | D='¤Ã' | E=13793
Row  7: B='3' | C='¸ÉÃAUÁ' | D='¤Ã' | E=22120
Row  8: B='4' | C='ºÉå©æqÀ ºÀwÛ' | D='¤Ã' | E=13772
Row  9: B='5' | C='¸ÀÆAiÀÄðPÁAw' | D='¤Ã' | E=9648
Row 10: B='6' | C='ºÉå©æqÀ eÉÆÃ¼À' | D='¤Ã' | E=14914
Row 11: B='7' | C='UÉÆÃ¢ü' | D='¤Ã' | E=9722
Row 12: B='8' | C='vÀA¨ÁPÀÄ' | D='¤Ã' | E=22680
Row 13: B='9' | C='¢ézÀ¼À zsÁ£Àå' | D='¤Ã' | E=7539
Row 14: B='10' | C='PÀ§Äâ' | D='¤Ã' | E=78793
Row 16: B='12' | C='gÉÃµÉä (¸ÁA)' | D='¤Ã' | E=71685
Row 17: B='13' | C='vÀÉAUÀÄ (PÁ¬Ä)' | D='¤Ã' | E=21000
Row 18: B='14' | C='ªÀÄiÁªÀÅ' | D='¤Ã' | E=43800
Row 19: B='15' | C='aPÀÄÌ' | D='¤Ã' | E=28030
Row 20: B='16' | C='¨Á¼É' | D='¤Ã' | E=79965
Row 21: B='17' | C='zÁ½A¨É' | D='¤Ã' | E=31247
Row 22: B='18' | C='¥À¥ÁàAiÀÄ' | D='¤Ã' | E=30378
Row 23: B='19' | C='°A¨É' | D='¤Ã' | E=22680
Row 25: B='21' | C='zÁæQë (©Ãd gÀ»vÀ)' | D='¤Ã' | E=165473
Row 26: B='22' | C='¨ÉÆÃgÉ' | D='¤Ã' | E=14290
Row 27: B='23' | C='UÀÄ¯Á© (¸ÀASÉå)' | D='¤Ã' | E=51030
Row 28: B='24' | C='«¼ÉåzÉ¯É («Ä±Àæ)' | D='¤Ã' | E=45841
Row 29: B='25' | C='PÀ®èAUÀr' | D='¤Ã' | E=40703
Row 30: B='26' | C='vÀgÀPÁjUÀ¼ÀÄ' | D='¤Ã' | E=25465
Row 31: B='27' | C='Cjó¶t' | D='¤Ã' | E=51769
Row 32: B='28' | C='Mt ªÉÄ£À¹£ÀPÁ¬Ä' | D='¤Ã' | E=24146
Row 33: B='29' | C='FgÀÄ½î' | D='¤Ã' | E=23800
Row 34: B='30' | C='¨É¼ÀÄî½î' | D='¤Ã' | E=17559
Row 35: B='31' | C='D®ÄUÀqÉØ' | D='¤Ã' | E=38400
Row 36: B='32' | C='¸ÀÉÃªÀAwUÉ' | D='¤Ã' | E=21107
